"","ID","Height","FreshLeafMass","DryLeafMass","LDMC","LeafArea","SLA","ShootDryBiomass","RootDryBiomass","TotalBiomass","RMF","RootVol","RootDensity","CoarseRootDiameter","RootLength","FineRootLength","CoarseRootLength","CoarseRootSpecLength","FineRootSpecLength","PropFineRoots"
"50","LOPU",4.3,0.0168466666666667,0.00498,0.3086404475,0.887666666666667,194.68707065,0.053,0.0246666666666667,0.0776666666666667,0.32735109,2.096,0.0117627023333333,0.860216666666667,382.364866666667,239.60265,142.762216666667,6256.30540916667,9831.330888,0.608981354833333
"51","LUBI",5.86666666666667,0.04894,0.008545,0.173235341333333,1.57633333333333,184.2511517,0.077,0.0358333333333333,0.112833333333333,0.32885708,2.154,0.0162324761666667,0.831083333333333,411.931033333333,186.106716666667,225.824316666667,6670.82538316667,5275.59483533333,0.441605104833333
"52","Leontodon",1.3,0.0357215,0.00418666666666667,0.115858115333333,1.16183333333333,298.674872883333,0.0289683333333333,0.0178933333333333,0.0468616666666667,0.3876940285,1.28816666666667,0.0139860478333333,0.60675,497.1086,383.888983333333,113.219616666667,8695.37435216667,25144.3426488333,0.745149560666667
"53","MAELf",1.3,0.046805,0.00406333333333333,0.0849580178333333,1.06683333333333,264.8069907,0.0190166666666667,0.016,0.0350166666666667,0.444380471666667,1.39833333333333,0.0110441331666667,0.519216666666667,695.09395,565.908616666667,129.185333333333,9048.62512683333,39428.2437216667,0.80874595
"54","MAELp",5.63333333333333,0.053282,0.006945,0.1307093852,2.12166666666667,327.6695171,0.0415016666666667,0.0486666666666667,0.0901683333333333,0.530365397833333,1.85383333333333,0.023525993,0.506883333333333,966.86515,747.698516666667,219.166633333333,5212.72595983333,17790.49798,0.772573926666667
"55","MICA",3.25,0.00436166666666667,0.00076,0.173121343166667,0.253333333333333,338.04455415,0.0419283333333333,0.0231666666666667,0.065095,0.386032010333333,1.27016666666667,0.0171440801666667,0.501966666666667,711.236766666667,597.808516666667,113.42825,6216.22063383333,28738.6076416667,0.826376626666667
"56","NEMA",4.03333333333333,0.0621183333333333,0.009055,0.138585952166667,1.96016666666667,229.233009766667,0.098145,0.03714,0.135285,0.2794240885,1.7625,0.0206779678333333,0.489166666666667,947.000733333333,762.771283333333,184.22945,5255.7071515,21844.59189,0.805536204833333
"57","PLERf",5.63333333333333,0.0275266666666667,0.00473166666666667,0.171551647666667,0.869333333333333,188.237045116667,0.0502416666666667,0.0521666666666667,0.102408333333333,0.5104004865,2.02533333333333,0.0263655615,0.513333333333333,1073.59493333333,885.787783333333,187.80715,3674.64839366667,17331.7658905,0.807360757333333
"58","PLERp",9.4,0.0643483333333333,0.00822833333333333,0.127621067666667,1.86766666666667,229.10192195,0.0961666666666667,0.0593333333333333,0.1555,0.383986474666667,2.00866666666667,0.029407335,0.479683333333333,1192.04111666667,990.631133333333,201.409983333333,3464.21270183333,17337.9152161667,0.820122591
"59","PLNO",2.05,0.0334266666666667,0.00583,0.1741256055,1.29491666666667,223.177418383333,0.141666666666667,0.097,0.238666666666667,0.405342055666667,2.21083333333333,0.0437265705,0.394516666666667,1834.41681666667,1551.96055,282.456266666667,2957.33710716667,16284.49994,0.843669819
"60","RUPU",2.56666666666667,0.180333333333333,0.0194083333333333,0.106832803833333,6.83716666666667,377.057718266667,0.0897683333333333,0.319666666666667,0.409435,0.717102749833333,1.893,0.141067896,0.515716666666667,929.727433333333,740.859716666667,188.867716666667,1670.62370456667,6150.03496861667,0.792395246333333
"61","SHAR",9.2,0.0063725,0.00148425,0.222705762,0.24325,187.40254925,0.0714725,0.04427,0.1157425,0.3839224295,1.811,0.0227165435,0.519875,868.998925,704.145675,164.85325,4915.675157,20549.28399,0.80551473525
"62","SPRU",3.03333333333333,0.0180133333333333,0.00207833333333333,0.115107119666667,0.3755,181.47399645,0.0721666666666667,0.0348333333333333,0.107,0.325811939666667,1.23933333333333,0.0283310616666667,0.4465,791.321583333333,660.929883333333,130.3917,3801.36256333333,19079.8009333333,0.834220667833333
"63","STPU",12.2666666666667,0.0217993333333333,0.00637666666666667,0.3084711305,1.2985,196.274461416667,0.0155216666666667,0.0376216666666667,0.0531433333333333,0.7289820515,1.15083333333333,0.0318838925,0.545,521.000683333333,404.513066666667,116.487616666667,3472.395819,12400.3729925,0.764490902666667
"64","Sanicula",3.78,0.038472,0.007228,0.2033223606,1.6802,239.4465849,0.0288,0.0208,0.0496,0.4323224044,1.4728,0.0141403646,0.75652,339.81422,241.52076,98.29346,4881.5080468,11684.2676802,0.699363158
"65","TACA",19.0166666666667,0.0129328333333333,0.003535,0.267310742333333,1.06633333333333,314.98171235,0.0273833333333333,0.0366516666666667,0.064035,0.576403068,1.09466666666667,0.0331986941666667,0.413433333333333,829.1329,721.391316666667,107.741583333333,2981.7846325,20319.0006483333,0.867851572
"66","TRCI",5.16,0.044816,0.009184,0.1993717334,1.9782,228.74506684,0.077664,0.028358,0.106022,0.2590118254,1.597,0.017869345,0.5693,747.50568,618.53202,128.97366,6164.5359132,23592.44564,0.80758157
"67","TRDU",2.58333333333333,0.0165016666666667,0.00418166666666667,0.2465636865,1.3175,339.419573133333,0.024595,0.0181666666666667,0.0427616666666667,0.418114397666667,1.37133333333333,0.0135725555,0.5774,619.1712,519.174816666667,99.9963833333333,10966.0148616667,34088.6580116667,0.809531655333333
"68","TRER",0.25,0.000608333333333333,0.000116,0.2082663452,0.0243333333333333,187.74891776,0.000587166666666667,0.000171,0.000602,0.270498408333333,2.44975,7.19114e-05,1.720325,105.514975,40.835625,64.67935,604778.849833333,320040.458706667,0.38240015725
"69","TRGL",2.8,0.0440066666666667,0.0106266666666667,0.240856216166667,2.32625,220.611359175,0.0474166666666667,0.0228333333333333,0.07025,0.339968469666667,1.27166666666667,0.0179585431666667,0.438783333333333,849.73235,735.727966666667,114.004383333333,5020.27902916667,32545.4111116667,0.863587104333333
"70","TRHI",3.4,0.056458,0.012212,0.218616991,2.68,220.0694461,0.08,0.0326,0.1126,0.2961672766,1.5348,0.0212056122,0.49,838.63118,703.78044,134.85074,4229.118061,21523.616816,0.8352703472
"71","TRHIpi",2.3,0.034063,0.00498666666666667,0.146320135333333,1.42466666666667,287.3692428,0.0343333333333333,0.0176533333333333,0.0519866666666667,0.344266508333333,1.33,0.013503759,0.624,434.8089,295.2133,139.5956,7772.583519,16437.26615,0.678949534
"72","TRLA",3.5,0.00714666666666667,0.00126833333333333,0.174621839666667,0.275666666666667,227.809601533333,0.00126833333333333,0.00149933333333333,0.00276766666666667,0.467267397333333,2.23233333333333,0.0007061223,1.6524,105.739133333333,30.8712666666667,74.8678666666667,142911.336436667,47353.34659,0.28473905
"73","TRPR",3.21666666666667,0.061915,0.0129283333333333,0.208312054833333,3.07316666666667,242.407337416667,0.0896433333333333,0.0383933333333333,0.128036666666667,0.298719601666667,1.61833333333333,0.0235280723333333,0.499116666666667,848.035833333333,693.431666666667,154.604166666667,4122.485565,17981.239205,0.812795883333333
"74","TRSU",3.9,0.068264,0.011826,0.1719752904,3.851,336.1697725,0.120884,0.0514,0.172284,0.3019039908,1.9774,0.0261061612,0.51702,950.30528,739.02988,211.2754,4141.1660422,14365.201056,0.7761369316
"75","TRWIf",5.16666666666667,0.0175716666666667,0.004315,0.242350426833333,0.946166666666667,233.710323816667,0.07242,0.03334625,0.10576625,0.34296289025,1.508,0.0260814153333333,0.4919,806.400683333333,651.0661,155.334583333333,4140.94453916667,16873.6919,0.802489728333333
"76","TRWIp",4.71666666666667,0.019895,0.00502833333333333,0.252702981333333,1.09033333333333,215.4149344,0.0725,0.0326666666666667,0.105166666666667,0.325734711166667,1.72983333333333,0.0192652131666667,0.618183333333333,600.17855,456.706966666667,143.471583333333,4485.126603,14067.8800566667,0.747845394666667
"77","TRWIpi",5.1,0.0215233333333333,0.00523,0.237837105833333,1.10416666666667,222.85130835,0.066,0.0345,0.1005,0.3441998675,1.74583333333333,0.019948964,0.61125,620.264333333333,458.748816666667,161.515516666667,4767.269934,14112.0886166667,0.727466723333333
