Taxon,Height..cm._mean,Height..cm._sd,Fresh.leaf.mass..g._mean,Fresh.leaf.mass..g._sd,Dry.leaf.mass..g._mean,Dry.leaf.mass..g._sd,LDMC_mean,LDMC_sd,Leaf.Area..cm2._mean,Leaf.Area..cm2._sd,SLA..cm2.g._mean,SLA..cm2.g._sd,Shoot.dry.biomass..g._mean,Shoot.dry.biomass..g._sd,Root.dry.biomass..g._mean,Root.dry.biomass..g._sd,Total.biomass..g._mean,Total.biomass..g._sd,RMF_mean,RMF_sd,Root.volume..cm3._mean,Root.volume..cm3._sd,Root.density..g.cm3._mean,Root.density..g.cm3._sd,Coarse.root.diameter..mm._mean,Coarse.root.diameter..mm._sd,Length..mm._mean,Length..mm._sd,Fine.root.length..mm._mean,Fine.root.length..mm._sd,Coarse.root.length..mm._mean,Coarse.root.length..mm._sd,Coarse.root.specific.length..cm.g._mean,Coarse.root.specific.length..cm.g._sd,Fine.root.specific.length..cm.g._mean,Fine.root.specific.length..cm.g._sd,Proportion.fine.roots_mean,Proportion.fine.roots_sd
Trifolium ciliolatum,5.16,0.832466216,0.044816,0.009387371,0.009184,0.003032026,0.199371733,0.037130467,1.9782,0.432340953,228.7450668,52.34697545,0.077664,0.03339581,0.028358,0.014617141,0.106022,0.04664366,0.259011825,0.047464831,1.597,0.128943786,0.017869345,0.00919163,0.5693,0.184855957,747.50568,318.1070342,618.53202,284.536708,128.97366,33.83661004,6164.535913,4354.008223,23592.44564,5188.279369,0.80758157,0.063664694
Agoseris unknown ,4.033333333,0.625033332,0.059388333,0.014082774,0.012451667,0.003522303,0.208353602,0.0122659,2.241333333,0.482684024,182.4013806,11.74717845,0.136108333,0.024013737,0.086833333,0.007678976,0.222941667,0.030231731,0.391827655,0.02785644,2.367333333,0.393659074,0.037174134,0.004291557,0.489016667,0.137326231,1430.123767,576.160429,1177.199383,549.7047108,252.9243833,31.82586609,2926.444009,400.4080879,13780.02509,6718.074056,0.802996618,0.063436001
Stipa pulchra,12.26666667,4.68771444,0.021799333,0.011686277,0.006376667,0.002804373,0.308471131,0.043620277,1.2985,0.71754519,196.2744614,29.21558202,0.015521667,0.010401714,0.037621667,0.017066199,0.053143333,0.027051394,0.728982052,0.060387111,1.150833333,0.336555147,0.031883893,0.00954952,0.545,0.130900374,521.0006833,169.0668181,404.5130667,157.8458231,116.4876167,24.31375109,3472.395819,1011.880937,12400.37299,5342.183216,0.764490903,0.063257029
Plantago erecta,7.516666667,2.034177669,0.0459375,0.021649225,0.00648,0.00239575,0.149586358,0.028497952,1.3685,0.602695687,208.6694835,38.51979788,0.073204167,0.031208999,0.05575,0.01290613,0.128954167,0.041627146,0.447193481,0.076068092,2.017,0.349172528,0.027886448,0.005860615,0.496508333,0.120394824,1132.818025,352.2367865,938.2094583,337.4237473,194.6085667,37.14022701,3569.430548,537.4484595,17334.84055,6313.224392,0.813741674,0.062618837
Gilia tricolor,4.642857143,1.16884151,0.024525714,0.010831225,0.003225714,0.001561355,0.130012306,0.022487076,0.813285714,0.47750278,257.4955574,65.2099757,0.025974286,0.012538127,0.029023571,0.010225975,0.054997857,0.021951462,0.542176469,0.056205595,1.385428571,0.341934622,0.020717651,0.00606595,0.504328571,0.132570242,745.0979714,224.7795027,620.1809571,217.0861858,124.9170143,17.28843586,4951.012855,2237.909935,24161.16055,10543.30965,0.819121252,0.059099382
Festuca myuros,11.65,2.271343215,0.006900333,0.001763279,0.001275,0.000261744,0.188297908,0.020307174,0.407666667,0.095246347,333.3375476,105.4596828,0.030666667,0.016033299,0.035366667,0.016759674,0.066033333,0.030346115,0.535838388,0.097374752,1.737833333,0.623616362,0.020517087,0.007448663,0.703766667,0.162447255,450.3154333,93.65340759,318.1788667,82.09958722,132.1365667,24.53188171,4323.995508,1709.644514,10855.67948,5790.051757,0.700685343,0.053434271
Bromus madritensis,10.72,4.581157059,0.0273254,0.025605589,0.00469,0.003771028,0.184086932,0.017140626,2.051,1.741849448,428.3766952,40.46829147,0.014638,0.014780385,0.035658,0.033133544,0.050296,0.047877034,0.719819328,0.028800187,1.395,0.51123478,0.023001421,0.012731698,0.5915,0.118807491,528.6583,187.4240007,409.69206,169.0174106,118.96624,34.78286807,4748.535893,2128.69737,16783.42633,8707.219269,0.765897155,0.05318431
Bromus diandrus,16.48333333,3.484489441,0.091,0.035366651,0.014371667,0.00596033,0.15631454,0.005626661,5.464333333,1.906034907,391.7580141,38.30805913,0.056716667,0.037074682,0.143735,0.07665772,0.200451667,0.113030155,0.72833734,0.032026223,3.386,1.636976359,0.041349145,0.007982394,0.86995,0.217529269,564.5173,178.0593453,407.9535,150.2744124,156.5638,40.13630194,1364.355625,751.155829,3679.44621,2478.85287,0.715030173,0.050960138
Lactuca serriola,0.54,0.403732585,0.0402396,0.028617576,0.008108,0.005889085,0.201367097,0.02521335,1.5306,1.024091207,198.5785455,35.07293526,0.028962,0.019859583,0.010586,0.005150983,0.039548,0.02491407,0.292135921,0.067149011,1.1104,0.173624019,0.010181818,0.006362229,0.60302,0.116122724,408.14336,108.4701265,335.00462,109.373738,73.13874,11.94231302,8412.176979,4108.33424,34528.43091,8447.775611,0.811514711,0.05007527
Chamomilla suavolens,2.4,0.182574186,0.0213125,0.004034521,0.0032675,0.001178824,0.149841869,0.025208203,0.8605,0.240527892,268.5314487,24.76737396,0.05425,0.035733971,0.045,0.023466288,0.09925,0.058948424,0.466646143,0.037914451,1.5875,0.504532457,0.026991126,0.005895084,0.403375,0.037527978,1212.092475,178.1899744,1044.743775,95.50897793,167.3487,83.89140156,3737.099928,189.1270829,27646.10196,11591.70443,0.867311036,0.049326713
Avena fatua,23.46666667,2.473593877,0.1105,0.05006296,0.019206667,0.00812804,0.176752129,0.030131299,6.680333333,2.839135761,351.3291534,52.77080107,0.065,0.017052859,0.156845,0.064345699,0.221845,0.073510686,0.693132983,0.07428312,2.9355,1.042141209,0.053188085,0.009367677,0.639766667,0.155764433,917.9239667,146.9186649,679.1688333,135.1763235,238.7551333,38.51089951,1689.554122,526.7215926,5184.88051,2861.833269,0.736325595,0.04726076
Taeniatherum caput-medusae,19.01666667,0.793515385,0.012932833,0.002611287,0.003535,0.001191432,0.267310742,0.050041572,1.066333333,0.295435046,314.9817124,80.0459465,0.027383333,0.010129404,0.036651667,0.010098801,0.064035,0.017670778,0.576403068,0.078272057,1.094666667,0.109103009,0.033198694,0.00724576,0.413433333,0.036210312,829.1329,157.3535975,721.3913167,151.1183969,107.7415833,35.23299718,2981.784633,815.6310035,20319.00065,4262.634424,0.867851572,0.046697084
